,precision,recall,f1-score,support
DummyClassifier,0.535877514,1.0,0.697812825,2345
LogisticRegression,0.933783214,0.944136461,0.938931298,2345
KNN,0.96883006,0.967590618,0.968209942,2345
Naive Bayesian,0.940159574,0.904477612,0.921973484,2345
Decision Tree,0.973492946,0.971002132,0.972245944,2345
Random Forest,0.981489453,0.97228145,0.976863753,2345
LightGBM,0.981148243,0.976545842,0.978841633,2345
SVM,0.961961116,0.970575693,0.966249204,2345
AdaBoost,0.934378869,0.965458422,0.94966443,2345
LabelPropagation,0.923296613627091,0.9650319829424308,0.9437030859049208,2345
Label Spreading,0.9417517006802721,0.9445628997867804,0.9431552054502875,2345
